seed,system,model,train_mse,test_mse,best_val_loss,r2,param_count
42,duffing,custom,0.000117,0.000132,0.000717,0.9993,613
42,duffing,mlp,0.000096,0.000096,0.000523,0.9995,737
42,lorenz,custom,23.030703,28.234159,0.390654,0.6186,613
42,lorenz,mlp,45.208355,44.074947,0.609831,0.4046,737
42,hopf,custom,0.001142,0.001588,0.005896,0.9945,613
42,hopf,mlp,0.091626,0.102588,0.380971,0.6420,737
123,duffing,custom,0.000090,0.000116,0.000131,0.9998,613
123,duffing,mlp,0.000608,0.000704,0.000404,0.9990,737
123,lorenz,custom,8.383056,11.711535,0.172855,0.8452,613
123,lorenz,mlp,42.802471,53.865337,0.752154,0.2878,737
123,hopf,custom,0.000828,0.001198,0.004317,0.9958,613
123,hopf,mlp,0.075952,0.094312,0.338478,0.6661,737
456,duffing,custom,0.000178,0.000206,0.001084,0.9989,613
456,duffing,mlp,0.000038,0.000047,0.000245,0.9997,737
456,lorenz,custom,16.932974,20.971798,0.284816,0.7039,613
456,lorenz,mlp,39.694992,42.751419,0.580602,0.3964,737
456,hopf,custom,0.004815,0.004825,0.017288,0.9820,613
456,hopf,mlp,0.074814,0.067428,0.206007,0.7478,737
789,duffing,custom,0.000052,0.000028,0.000039,1.0000,613
789,duffing,mlp,0.001414,0.001360,0.000103,0.9982,737
789,lorenz,custom,17.900761,20.916220,0.288793,0.6770,613
789,lorenz,mlp,43.896320,41.118050,0.565162,0.3650,737
789,hopf,custom,0.000971,0.001610,0.005427,0.9944,613
789,hopf,mlp,0.073131,0.093708,0.339921,0.6726,737
101,duffing,custom,0.000586,0.000488,0.000803,0.9992,613
101,duffing,mlp,0.008696,0.009897,0.002558,0.9840,737
101,lorenz,custom,27.683519,24.498051,0.340929,0.6371,613
101,lorenz,mlp,36.224964,31.193060,0.402617,0.5379,737
101,hopf,custom,0.011149,0.012071,0.044806,0.9564,613
101,hopf,mlp,0.089981,0.072770,0.270114,0.7371,737
202,duffing,custom,0.000214,0.000224,0.000267,0.9997,613
202,duffing,mlp,0.001364,0.001546,0.001841,0.9982,737
202,lorenz,custom,8.623524,11.093812,0.152783,0.8549,613
202,lorenz,mlp,32.667072,38.395409,0.528779,0.4980,737
202,hopf,custom,0.000725,0.000754,0.002207,0.9971,613
202,hopf,mlp,0.084435,0.069696,0.251410,0.7313,737
